time(s),position(m),velocity(m/s),acceleration(m/s^2)
0,1,0,-12
0.01,0.999402,-0.119378,-11.8734
0.02,0.997617,-0.237426,-11.734
0.03,0.994658,-0.354016,-11.5819
0.04,0.990542,-0.469023,-11.4175
0.05,0.985284,-0.582325,-11.2411
0.06,0.978901,-0.693805,-11.053
0.07,0.971414,-0.803348,-10.8536
0.08,0.962841,-0.910841,-10.6433
0.09,0.953204,-1.01618,-10.4223
0.1,0.942525,-1.11925,-10.1911
0.11,0.930827,-1.21997,-9.94996
0.12,0.918134,-1.31822,-9.69939
0.13,0.904471,-1.41392,-9.43973
0.14,0.889865,-1.50699,-9.17139
0.15,0.874341,-1.59732,-8.89476
0.16,0.857927,-1.68485,-8.61027
0.17,0.840653,-1.7695,-8.31833
0.18,0.822547,-1.8512,-8.01937
0.19,0.803639,-1.92987,-7.7138
0.2,0.78396,-2.00545,-7.40207
0.21,0.763541,-2.07789,-7.0846
0.22,0.742413,-2.14713,-6.76183
0.23,0.720609,-2.21311,-6.4342
0.24,0.698162,-2.2758,-6.10214
0.25,0.675104,-2.33514,-5.76611
0.26,0.65147,-2.39111,-5.42653
0.27,0.627293,-2.44366,-5.08386
0.28,0.602608,-2.49278,-4.73852
0.29,0.577449,-2.53842,-4.39097
0.3,0.551851,-2.58059,-4.04163
0.31,0.525849,-2.61925,-3.69094
0.32,0.499478,-2.6544,-3.33933
0.33,0.472773,-2.68604,-2.98724
0.34,0.445769,-2.71415,-2.63508
0.35,0.418502,-2.73874,-2.28328
0.36,0.391006,-2.75982,-1.93225
0.37,0.363317,-2.77739,-1.58242
0.38,0.33547,-2.79147,-1.23417
0.39,0.307499,-2.80208,-0.887911
0.4,0.27944,-2.80924,-0.54404
0.41,0.251326,-2.81297,-0.202941
0.42,0.223192,-2.81331,0.135006
0.43,0.195071,-2.81028,0.46943
0.44,0.166997,-2.80393,0.799965
0.45,0.139003,-2.7943,1.12626
0.46,0.111122,-2.78142,1.44796
0.47,0.0833855,-2.76535,1.76473
0.48,0.0558254,-2.74614,2.07624
0.49,0.0284729,-2.72385,2.38217
0.5,0.00135858,-2.69852,2.68222
0.51,-0.0254876,-2.67022,2.97607
0.52,-0.0520362,-2.63902,3.26345
0.53,-0.0782585,-2.60498,3.54408
0.54,-0.104127,-2.56816,3.81768
0.55,-0.129613,-2.52865,4.084
0.56,-0.154691,-2.48651,4.3428
0.57,-0.179334,-2.44182,4.59383
0.58,-0.203519,-2.39466,4.83688
0.59,-0.22722,-2.34511,5.07174
0.6,-0.250413,-2.29325,5.29821
0.61,-0.273077,-2.23917,5.5161
0.62,-0.29519,-2.18296,5.72523
0.63,-0.31673,-2.1247,5.92545
0.64,-0.337677,-2.06448,6.1166
0.65,-0.358013,-2.0024,6.29855
0.66,-0.377719,-1.93854,6.47117
0.67,-0.396778,-1.873,6.63434
0.68,-0.415174,-1.80588,6.78797
0.69,-0.432891,-1.73728,6.93197
0.7,-0.449915,-1.66728,7.06625
0.71,-0.466232,-1.59598,7.19077
0.72,-0.48183,-1.52349,7.30546
0.73,-0.496698,-1.44991,7.41029
0.74,-0.510825,-1.37532,7.50522
0.75,-0.524202,-1.29984,7.59026
0.76,-0.536819,-1.22355,7.66538
0.77,-0.54867,-1.14656,7.73061
0.78,-0.559748,-1.06897,7.78595
0.79,-0.570048,-0.990875,7.83145
0.8,-0.579565,-0.912374,7.86715
0.81,-0.588295,-0.833565,7.8931
0.82,-0.596235,-0.754544,7.90937
0.83,-0.603385,-0.675409,7.91603
0.84,-0.609743,-0.596255,7.91318
0.85,-0.61531,-0.517177,7.9009
0.86,-0.620087,-0.438268,7.87932
0.87,-0.624077,-0.359622,7.84854
0.88,-0.627281,-0.281328,7.8087
0.89,-0.629705,-0.203477,7.75993
0.9,-0.631352,-0.126158,7.70239
0.91,-0.63223,-0.0494583,7.63622
0.92,-0.632344,0.0265377,7.56159
0.93,-0.631702,0.101746,7.47868
0.94,-0.630312,0.176084,7.38766
0.95,-0.628183,0.249473,7.28873
0.96,-0.625326,0.321833,7.18208
0.97,-0.62175,0.393089,7.06791
0.98,-0.617468,0.463167,6.94645
0.99,-0.612491,0.531994,6.8179
1,-0.606832,0.599502,6.68249
1.01,-0.600506,0.665622,6.54045
1.02,-0.593525,0.73029,6.39201
1.03,-0.585905,0.793442,6.23742
1.04,-0.577661,0.855018,6.07692
1.05,-0.56881,0.914961,5.91076
1.06,-0.559368,0.973215,5.7392
1.07,-0.549352,1.02973,5.56249
1.08,-0.538779,1.08445,5.3809
1.09,-0.527669,1.13733,5.19469
1.1,-0.516039,1.18833,5.00414
1.11,-0.503909,1.2374,4.8095
1.12,-0.491297,1.28451,4.61106
1.13,-0.478225,1.32961,4.40909
1.14,-0.464712,1.37268,4.20387
1.15,-0.450778,1.41368,3.99566
1.16,-0.436445,1.45258,3.78476
1.17,-0.421734,1.48936,3.57144
1.18,-0.406665,1.524,3.35598
1.19,-0.391261,1.55648,3.13866
1.2,-0.375543,1.58677,2.91975
1.21,-0.359533,1.61487,2.69953
1.22,-0.343253,1.64076,2.47828
1.23,-0.326725,1.66443,2.25627
1.24,-0.309972,1.68588,2.03378
1.25,-0.293015,1.70511,1.81107
1.26,-0.275877,1.7221,1.58842
1.27,-0.25858,1.73688,1.36609
1.28,-0.241147,1.74943,1.14434
1.29,-0.223599,1.75976,0.923426
1.3,-0.205959,1.7679,0.70361
1.31,-0.188249,1.77384,0.485141
1.32,-0.170489,1.77761,0.268267
1.33,-0.152704,1.77921,0.05323
1.34,-0.134912,1.77868,-0.15973
1.35,-0.117137,1.77603,-0.370381
1.36,-0.0993988,1.77128,-0.578494
